Time (hr),Latitude,Longitude,Wind Speed (km/h),Wind Direction (°),Pressure (hPa),Temperature (°C),Humidity (%),Distance from Land (km),Cyclone Category,Cyclone Direction
6,70.85675683628654,-102.7142309975373,215.9549282848186,67.66519361846743,1025.6002522056224,-4.540930979903126,26.42182146852108,392.432101931729,1,0
19,-37.52695293278538,-17.685276695193664,238.5780122671385,40.82891761401434,928.569874183373,0.1212406348092258,92.58885588101742,12.775945794549717,5,0
14,11.288077801596517,69.61760791001186,143.06717238272216,157.75888330427046,1042.5964170655884,36.34608596512176,96.45857791463678,49.5777266477907,5,2
10,-72.04842497810117,121.66638294099056,141.22941019967993,65.35240814829855,1023.9940177818318,15.378321998857563,52.53074767481054,168.52588567140492,1,0
7,75.95201342389504,165.50504079205945,150.41274593414894,93.29780020115535,953.9083890820552,12.67454008446296,56.46958637384501,315.57019834484987,1,2
20,-64.6613176011816,37.96299580965035,194.6248061666123,210.64203312525555,963.2207589142282,-7.086402914404979,49.495862875111314,213.93408889245163,1,3
6,-49.51857496852669,9.690972229595673,183.61205813979245,145.4051209621472,900.5756990284464,-5.798010429323272,82.21495000639779,198.80226199621725,4,2
18,10.4641484630787,-173.6309076763866,94.56698984137742,311.71618065975866,937.7148366469448,24.5824295414289,81.66292950214692,213.98282975274512,5,1
22,47.53674003833669,-154.04433510593523,62.77906971986866,81.220444371046,943.3944683927928,28.84669373942797,37.63357292062828,63.48638258436229,3,0
10,21.483235068533816,-123.80220085053593,239.85082596335783,358.84465162777906,967.9108048439892,33.35032550165402,50.7115303890628,349.6017331190436,2,1
10,-48.21589569597189,-160.2864247717339,102.21395194674083,129.38162973350185,920.857472099275,15.14049422352879,36.99493416293671,100.55835031429989,5,2
23,-89.83025234505175,-35.68923403022646,177.71933693811835,185.54502623732623,971.8150332183374,6.428680010768883,23.72993160056356,217.5054101019169,3,3
20,46.28710445533906,-58.723723750006016,215.68760054874448,47.639559531137685,1000.2702728128878,21.27613144702141,24.489717125114304,484.9291139274308,1,0
3,87.33731866399688,49.447496832621454,110.05535010943726,208.5476445886104,955.6923447214978,20.94400568612426,31.74584994563495,463.90073949146034,2,3
7,55.78436165509626,12.83943885602497,177.08668273138574,346.0625619965624,934.8292913348288,-8.266680084785845,22.39056281419777,384.2523698259532,5,1
23,-7.162808731809236,34.54947337962949,71.58004822984498,269.7832000357241,982.1574730430842,36.94014005323828,53.85401650210436,442.990180311638,2,3
2,72.67810705183919,-10.088206942444517,243.98628887513212,87.8596416538266,904.3505854440416,22.128013656715083,25.121560829650463,342.7377637576636,4,0
21,-16.22741883869699,-80.01462652046743,61.63165501012517,159.34021590026262,951.1256176164673,-9.676571468346836,87.79291132999836,409.8532478299815,2,2
20,4.488135163824154,163.01711338073176,137.63493476819525,153.15599305045708,979.138536436202,37.98171017463802,76.96655819174526,124.13932994699472,5,2
1,-4.116641868777009,-148.89270248634998,157.36384841200464,35.2611963333036,950.3764224297784,37.63254765710028,82.69142745466308,227.39077253719765,1,0
23,-9.427702920205505,158.00075980751058,208.0963557326728,318.90606504395976,951.8147139146292,37.29598758077337,69.39840945515752,143.5975751107974,1,1
11,49.534338472903045,-67.95430312869553,74.22570341448424,137.32417799100716,1027.2444993955803,34.44493923236641,73.11018654727792,18.986448129754308,2,2
5,4.8184033085085645,4.558120332227077,138.1615947710353,177.93345999747407,1040.0987680792746,-0.7681988601779342,29.072802702259164,120.15999503425655,5,2
1,-32.99091803546111,-140.8167637820834,109.94231390869048,104.8491989555647,1024.108897102299,38.858644590747055,24.65341188267587,128.1910492642825,1,2
20,-43.5315298214739,-154.46481538643667,112.402143138668,54.86242564358552,914.8301175117732,28.096622511213237,99.1371289757702,342.3596723464753,2,0
0,-83.20548294586199,-25.36363846130297,205.75758321305017,324.75982311773055,943.4613666571496,22.037851174115502,49.83594893153075,171.3400342762516,5,1
11,14.975129138948276,87.01105549668415,51.09218900636663,13.463091957636257,1006.6941550037498,37.13353057369805,24.10160153909218,107.9884399493975,1,0
21,-48.606945227813846,-83.02868008252238,199.81672826719324,143.95662047380702,1046.1589192503986,9.054363647274869,32.771679365132435,6.468354308536206,4,2
11,-63.33589403705105,22.445240016715218,212.07968602462125,263.05035370091366,936.342232270512,36.56844961348016,89.93647975332037,200.04468907602185,3,3
16,27.689393488981977,-79.6858774117854,230.2724487684138,111.18885055231178,1034.7315718633952,20.28422513129604,36.46389413017063,385.44084882473936,2,2
9,32.61766640787879,-40.09929807850531,175.3763606460967,160.57029850640848,1010.8522480744602,18.964868310109487,57.36336570171755,313.67352395995994,5,2
